antecedent 1,antecedent 2,consequent 1,consequent 2,lift,confidence,support
Handyman Contractor,,Electrical and Wiring Services,,1.286760626,0.106760375,0.00384917
Cake Baker,,Photographer,,1.265950272,0.026762532,0.001616893
Photographer,,Cake Baker,,1.265950272,0.076484018,0.001616893
Plumber,,Handyman Contractor,,1.247789104,0.044988161,0.003438914
Handyman Contractor,,Plumber,,1.247789104,0.095381526,0.003438914
Aircon Installer,,Electrical and Wiring Services,,1.23243457,0.102253033,0.001423831
Electrical and Wiring Services,,Aircon Installer,,1.23243457,0.01716114,0.001423831
Home Cleaning,,Electrical and Wiring Services,Plumber,1.225073342,0.010421438,0.001098039
Electrical and Wiring Services,Plumber,Home Cleaning,,1.225073342,0.129078014,0.001098039
Electrical and Wiring Services,Plumber,Renovation Contractor,,1.153433424,0.15177305,0.001291101
Renovation Contractor,,Electrical and Wiring Services,Plumber,1.153433424,0.009812013,0.001291101
House Painting/Wall Painting,,Handyman Contractor,,1.142263978,0.041183527,0.001242836
Handyman Contractor,,House Painting/Wall Painting,,1.142263978,0.034471218,0.001242836
Electrical and Wiring Services,,Grille and Metal Installer and Supplier,,1.139988956,0.015997673,0.0013273
Grille and Metal Installer and Supplier,,Electrical and Wiring Services,,1.139988956,0.094582975,0.0013273
"Sofa, Mattress Cleaning",,Home Cleaning,,1.137458391,0.119846596,0.001508296
Home Cleaning,,"Sofa, Mattress Cleaning",,1.137458391,0.014315163,0.001508296
Aircon Installer,,Plumber,,1.133629433,0.086655113,0.001206637
Plumber,,Aircon Installer,,1.133629433,0.01578532,0.001206637
Cake Baker,,Makeup Artist and Hairstylist,,1.120237751,0.017775115,0.001073906
Makeup Artist and Hairstylist,,Cake Baker,,1.120237751,0.067680608,0.001073906
House Painting/Wall Painting,,Electrical and Wiring Services,,1.103594339,0.091563375,0.002763198
Electrical and Wiring Services,,House Painting/Wall Painting,,1.103594339,0.033304247,0.002763198
Plumber,,House Painting/Wall Painting,,1.056609716,0.031886346,0.002437406
House Painting/Wall Painting,,Plumber,,1.056609716,0.080767693,0.002437406
Electrical and Wiring Services,Aircon Servicing,Renovation Contractor,,1.041706839,0.137071651,0.00106184
Renovation Contractor,,Electrical and Wiring Services,Aircon Servicing,1.041706839,0.008069693,0.00106184
